id,name,icd_code,specialty,description,severity,chronic,treatment_available,prevalence
295,Primary Panic Disorder,F41.0.X,Psychiatry,"Primary Panic Disorder (ICD-10: F41.0.X) is a clinical diagnosis managed under Psychiatry. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Yes,Curative,Rare
296,Severe Encephalitis,G04.X,Neurology,"Severe Encephalitis (ICD-10: G04.X) is a clinical diagnosis managed under Neurology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,No,Yes,Rare
297,Drug-Induced Melanoma,C43.X,Orthopedics,"Drug-Induced Melanoma (ICD-10: C43.X) is a clinical diagnosis managed under Orthopedics. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,No,Curative,Common
298,Secondary Ankylosing Spondylitis,M45.X,Rheumatology,"Secondary Ankylosing Spondylitis (ICD-10: M45.X) is a clinical diagnosis managed under Rheumatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Yes,Curative,Uncommon
299,Late-Onset Otitis Media Type 3,H65.X,ENT,"Late-Onset Otitis Media Type 3 (ICD-10: H65.X) is a clinical diagnosis managed under ENT. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Yes,Supportive,Very Common
300,Hemorrhagic Stroke,I61,Neurology,"Hemorrhagic Stroke (ICD-10: I61) is a clinical diagnosis managed under Neurology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Yes,Yes,Very Common
301,Primary Unstable Angina,I20.0.X,Cardiology,"Primary Unstable Angina (ICD-10: I20.0.X) is a clinical diagnosis managed under Cardiology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Yes,Yes,Rare
302,Chronic Myasthenia Gravis,G70.0.X,Neurology,"Chronic Myasthenia Gravis (ICD-10: G70.0.X) is a clinical diagnosis managed under Neurology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Yes,Supportive,Rare
303,Idiopathic Ventricular Tachycardia,I47.2.X,Cardiology,"Idiopathic Ventricular Tachycardia (ICD-10: I47.2.X) is a clinical diagnosis managed under Cardiology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,No,Supportive,Very Common
304,Primary Epilepsy,G40.X,Neurology,"Primary Epilepsy (ICD-10: G40.X) is a clinical diagnosis managed under Neurology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Variable,Curative,Rare
305,Idiopathic Bronchial Asthma,J45.X,Pulmonology,"Idiopathic Bronchial Asthma (ICD-10: J45.X) is a clinical diagnosis managed under Pulmonology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Variable,Yes,Very Common
306,Post-Operative Major Depressive Disorder,F32.X,Psychiatry,"Post-Operative Major Depressive Disorder (ICD-10: F32.X) is a clinical diagnosis managed under Psychiatry. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Variable,Supportive,Very Common
307,Chronic Encephalitis,G04.X,Neurology,"Chronic Encephalitis (ICD-10: G04.X) is a clinical diagnosis managed under Neurology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,No,Yes,Very Common
308,Psoriatic Arthritis,L40.5,Rheumatology,"Psoriatic Arthritis (ICD-10: L40.5) is a clinical diagnosis managed under Rheumatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Variable,Yes,Uncommon
309,Recurrent Osteoarthritis,M19.X,Rheumatology,"Recurrent Osteoarthritis (ICD-10: M19.X) is a clinical diagnosis managed under Rheumatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Yes,Yes,Common
310,Late-Onset Pre-eclampsia,O14.X,Obstetrics,"Late-Onset Pre-eclampsia (ICD-10: O14.X) is a clinical diagnosis managed under Obstetrics. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Variable,Supportive,Uncommon
311,Acute Attention Deficit Hyperactivity Disorder,F90.X,Psychiatry,"Acute Attention Deficit Hyperactivity Disorder (ICD-10: F90.X) is a clinical diagnosis managed under Psychiatry. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Yes,Supportive,Rare
312,Mitral Regurgitation,I34.0,Cardiology,"Mitral Regurgitation (ICD-10: I34.0) is a clinical diagnosis managed under Cardiology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,No,Supportive,Uncommon
313,Mild Addison's Disease,E27.1.X,Endocrinology,"Mild Addison's Disease (ICD-10: E27.1.X) is a clinical diagnosis managed under Endocrinology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Yes,Yes,Uncommon
314,Late-Onset Renal Calculi Type 2,N20.X,Urology,"Late-Onset Renal Calculi Type 2 (ICD-10: N20.X) is a clinical diagnosis managed under Urology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Variable,Yes,Common
315,Primary Malaria,B54.X,Infectious Disease,"Primary Malaria (ICD-10: B54.X) is a clinical diagnosis managed under Infectious Disease. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,No,Curative,Common
316,Late-Onset Ulcerative Colitis,K51.X,Gastroenterology,"Late-Onset Ulcerative Colitis (ICD-10: K51.X) is a clinical diagnosis managed under Gastroenterology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,No,Yes,Common
317,Drug-Induced Vitiligo,L80.X,Dermatology,"Drug-Induced Vitiligo (ICD-10: L80.X) is a clinical diagnosis managed under Dermatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,No,Curative,Uncommon
318,Early-Onset Acute Respiratory Distress Syndrome,J80.X,Critical Care,"Early-Onset Acute Respiratory Distress Syndrome (ICD-10: J80.X) is a clinical diagnosis managed under Critical Care. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Yes,Supportive,Uncommon
319,Post-Operative Polycythemia Vera,D45.X,Hematology,"Post-Operative Polycythemia Vera (ICD-10: D45.X) is a clinical diagnosis managed under Hematology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Yes,Yes,Common
320,Schizophrenia,F20,Psychiatry,"Schizophrenia (ICD-10: F20) is a clinical diagnosis managed under Psychiatry. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Yes,Yes,Very Common
321,Late-Onset Cataracts,H26.X,Ophthalmology,"Late-Onset Cataracts (ICD-10: H26.X) is a clinical diagnosis managed under Ophthalmology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Variable,Curative,Rare
322,Primary Pericarditis,I30.X,Cardiology,"Primary Pericarditis (ICD-10: I30.X) is a clinical diagnosis managed under Cardiology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,No,Curative,Rare
323,Late-Onset Osteoporosis,M81.X,Rheumatology,"Late-Onset Osteoporosis (ICD-10: M81.X) is a clinical diagnosis managed under Rheumatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Variable,Curative,Common
324,Secondary Ulcerative Colitis,K51.X,Gastroenterology,"Secondary Ulcerative Colitis (ICD-10: K51.X) is a clinical diagnosis managed under Gastroenterology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Yes,Yes,Common
325,Congenital Encephalitis Type 1,G04.X,Neurology,"Congenital Encephalitis Type 1 (ICD-10: G04.X) is a clinical diagnosis managed under Neurology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Variable,Yes,Uncommon
326,Nephritic Syndrome,N05,Nephrology,"Nephritic Syndrome (ICD-10: N05) is a clinical diagnosis managed under Nephrology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,No,Supportive,Very Common
327,Post-Operative Urticaria,L50.X,Dermatology,"Post-Operative Urticaria (ICD-10: L50.X) is a clinical diagnosis managed under Dermatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Variable,Curative,Rare
328,Primary Cervical Cancer,C53.X,Neonatology,"Primary Cervical Cancer (ICD-10: C53.X) is a clinical diagnosis managed under Neonatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,No,Yes,Rare
329,Late-Onset Schizophrenia,F20.X,Psychiatry,"Late-Onset Schizophrenia (ICD-10: F20.X) is a clinical diagnosis managed under Psychiatry. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Variable,Supportive,Uncommon
330,Pericarditis,I30,Cardiology,"Pericarditis (ICD-10: I30) is a clinical diagnosis managed under Cardiology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,No,Curative,Common
331,Congenital Lung Cancer,C34.X,Oncology,"Congenital Lung Cancer (ICD-10: C34.X) is a clinical diagnosis managed under Oncology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,No,Yes,Common
332,Late-Onset Dengue Fever,A90.X,Infectious Disease,"Late-Onset Dengue Fever (ICD-10: A90.X) is a clinical diagnosis managed under Infectious Disease. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,No,Supportive,Very Common
333,Acute Multiple Sclerosis,G35.X,Neurology,"Acute Multiple Sclerosis (ICD-10: G35.X) is a clinical diagnosis managed under Neurology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Yes,Yes,Rare
334,Congenital Osteoarthritis,M19.X,Rheumatology,"Congenital Osteoarthritis (ICD-10: M19.X) is a clinical diagnosis managed under Rheumatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Yes,Supportive,Common
335,Severe Pleural Effusion,J90.X,Pulmonology,"Severe Pleural Effusion (ICD-10: J90.X) is a clinical diagnosis managed under Pulmonology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Yes,Supportive,Rare
336,Drug-Induced Hearing Loss,H91.X,ENT,"Drug-Induced Hearing Loss (ICD-10: H91.X) is a clinical diagnosis managed under ENT. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Yes,Supportive,Uncommon
337,Idiopathic Trigeminal Neuralgia,G50.0.X,Neurology,"Idiopathic Trigeminal Neuralgia (ICD-10: G50.0.X) is a clinical diagnosis managed under Neurology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Yes,Yes,Common
338,Moderate Fibromyalgia,M79.7.X,Rheumatology,"Moderate Fibromyalgia (ICD-10: M79.7.X) is a clinical diagnosis managed under Rheumatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Yes,Curative,Uncommon
