id,name,generic_name,category,manufacturer,dosage_form,strength,description,drug_class,prescription_required,storage
317,Naproxen Plus 316,Naproxen,Urological,Mankind Pharma,Tablet,100mg,Naproxen Plus 316 100mg Tablet is a nsaid used in the management of various conditions. Manufactured by Mankind Pharma. Each tablet contains 100mg of active ingredient.,NSAID,Yes,Store below 25°C
318,Alprazolam IV,Alprazolam IV,Antimalarial,Mankind Pharma,Tablet,100mg,Alprazolam IV 100mg Tablet is a benzodiazepine used in the management of various conditions. Manufactured by Mankind Pharma. Each tablet contains 100mg of active ingredient.,Benzodiazepine,Yes,Store away from light
319,Imatinib,Imatinib,Analgesic,Johnson & Johnson,Tablet,400mg,Imatinib 400mg Tablet is a tyrosine kinase inhibitor used in the management of various conditions. Manufactured by Johnson & Johnson. Each tablet contains 400mg of active ingredient.,Tyrosine Kinase Inhibitor,Yes,Refrigerate 2-8°C
320,Omeprazole Sustained Release,Omeprazole,Bronchodilator,Aristo Pharma,Capsule,10mg,Omeprazole Sustained Release 10mg Capsule is a proton pump inhibitor used in the management of various conditions. Manufactured by Aristo Pharma. Each capsule contains 10mg of active ingredient.,Proton Pump Inhibitor,No,Store away from light
321,Duloxetine SR,Duloxetine SR,Antiepileptic,Aristo Pharma,Capsule,1g,Duloxetine SR 1g Capsule is a snri antidepressant used in the management of various conditions. Manufactured by Aristo Pharma. Each capsule contains 1g of active ingredient.,SNRI Antidepressant,No,Store in dry place
322,Zolpidem,Zolpidem,NSAID,Johnson & Johnson,Tablet,10mg,Zolpidem 10mg Tablet is a sedative/hypnotic used in the management of various conditions. Manufactured by Johnson & Johnson. Each tablet contains 10mg of active ingredient.,Sedative/Hypnotic,Yes,Store below 25°C
323,Acarbose Extended Release,Acarbose,Vitamin/Supplement,Aristo Pharma,Tablet,1g,Acarbose Extended Release 1g Tablet is a alpha-glucosidase inhibitor used in the management of various conditions. Manufactured by Aristo Pharma. Each tablet contains 1g of active ingredient.,Alpha-Glucosidase Inhibitor,No,Store below 25°C
324,Glimepiride Junior,Glimepiride Junior,Analgesic,Cipla,Tablet,25mg,Glimepiride Junior 25mg Tablet is a sulfonylurea used in the management of various conditions. Manufactured by Cipla. Each tablet contains 25mg of active ingredient.,Sulfonylurea,Yes,Store below 25°C
325,Diltiazem,Diltiazem,Proton Pump Inhibitor,Mankind Pharma,Tablet,60mg,Diltiazem 60mg Tablet is a calcium channel blocker used in the management of various conditions. Manufactured by Mankind Pharma. Each tablet contains 60mg of active ingredient.,Calcium Channel Blocker,Yes,Refrigerate 2-8°C
326,Norepinephrine Junior,Norepinephrine Junior,Ophthalmic,Wockhardt,Injection,10mg,Norepinephrine Junior 10mg Injection is a vasopressor used in the management of various conditions. Manufactured by Wockhardt. Each injection contains 10mg of active ingredient.,Vasopressor,No,Refrigerate 2-8°C
327,Oseltamivir Extended Release,Oseltamivir,Bronchodilator,Pfizer India,Capsule,50mg,Oseltamivir Extended Release 50mg Capsule is a antiviral used in the management of various conditions. Manufactured by Pfizer India. Each capsule contains 50mg of active ingredient.,Antiviral,Yes,Refrigerate 2-8°C
328,Permethrin SR,Permethrin SR,Anticoagulant,Lupin,Cream,1g,Permethrin SR 1g Cream is a antiparasitic used in the management of various conditions. Manufactured by Lupin. Each cream contains 1g of active ingredient.,Antiparasitic,Yes,Store away from light
329,Prednisolone Plus,Prednisolone,Vitamin/Supplement,GSK India,Tablet,50mg,Prednisolone Plus 50mg Tablet is a corticosteroid used in the management of various conditions. Manufactured by GSK India. Each tablet contains 50mg of active ingredient.,Corticosteroid,Yes,Store in dry place
330,Ciprofloxacin Junior,Ciprofloxacin Junior,Antihypertensive,Johnson & Johnson,Tablet,500mg,Ciprofloxacin Junior 500mg Tablet is a antibiotic used in the management of various conditions. Manufactured by Johnson & Johnson. Each tablet contains 500mg of active ingredient.,Antibiotic,Yes,Store below 25°C
331,Methimazole,Methimazole,NSAID,Novartis India,Tablet,10mg,Methimazole 10mg Tablet is a antithyroid used in the management of various conditions. Manufactured by Novartis India. Each tablet contains 10mg of active ingredient.,Antithyroid,Yes,Store in dry place
332,Albendazole Plus,Albendazole,Statin,Torrent Pharma,Tablet,100mg,Albendazole Plus 100mg Tablet is a anthelmintic used in the management of various conditions. Manufactured by Torrent Pharma. Each tablet contains 100mg of active ingredient.,Anthelmintic,No,Store below 25°C
333,Sacubitril-Valsartan Forte 332,Sacubitril-Valsartan Forte,Dermatological,Mankind Pharma,Tablet,100mg,Sacubitril-Valsartan Forte 332 100mg Tablet is a arni used in the management of various conditions. Manufactured by Mankind Pharma. Each tablet contains 100mg of active ingredient.,ARNi,Yes,Refrigerate 2-8°C
334,Azathioprine XR,Azathioprine XR,Immunosuppressant,IPCA Labs,Tablet,250mg,Azathioprine XR 250mg Tablet is a immunosuppressant used in the management of various conditions. Manufactured by IPCA Labs. Each tablet contains 250mg of active ingredient.,Immunosuppressant,Yes,Store in dry place
335,Clonazepam XR,Clonazepam XR,Urological,Sanofi India,Tablet,10mg,Clonazepam XR 10mg Tablet is a benzodiazepine used in the management of various conditions. Manufactured by Sanofi India. Each tablet contains 10mg of active ingredient.,Benzodiazepine,Yes,Refrigerate 2-8°C
336,Fenofibrate SR,Fenofibrate SR,Hormonal,Elder Pharma,Tablet,50mg,Fenofibrate SR 50mg Tablet is a fibrate used in the management of various conditions. Manufactured by Elder Pharma. Each tablet contains 50mg of active ingredient.,Fibrate,Yes,Store in dry place
337,Linezolid,Linezolid,Anticoagulant,Wockhardt,Tablet,600mg,Linezolid 600mg Tablet is a antibiotic used in the management of various conditions. Manufactured by Wockhardt. Each tablet contains 600mg of active ingredient.,Antibiotic,Yes,Store in dry place
338,Sofosbuvir Dispersible,Sofosbuvir Dispersible,Bronchodilator,Zydus Cadila,Tablet,250mg,Sofosbuvir Dispersible 250mg Tablet is a antiviral (hcv) used in the management of various conditions. Manufactured by Zydus Cadila. Each tablet contains 250mg of active ingredient.,Antiviral (HCV),Yes,Store in dry place
339,Dabigatran Forte,Dabigatran Forte,Statin,Torrent Pharma,Capsule,500mg,Dabigatran Forte 500mg Capsule is a noac used in the management of various conditions. Manufactured by Torrent Pharma. Each capsule contains 500mg of active ingredient.,NOAC,Yes,Store away from light
340,Ramipril IV,Ramipril IV,Antimalarial,Emcure Pharma,Tablet,25mg,Ramipril IV 25mg Tablet is a ace inhibitor used in the management of various conditions. Manufactured by Emcure Pharma. Each tablet contains 25mg of active ingredient.,ACE Inhibitor,Yes,Store in dry place
341,Cephalexin XR,Cephalexin XR,Vitamin/Supplement,Aurobindo Pharma,Capsule,25mg,Cephalexin XR 25mg Capsule is a antibiotic used in the management of various conditions. Manufactured by Aurobindo Pharma. Each capsule contains 25mg of active ingredient.,Antibiotic,Yes,Refrigerate 2-8°C
342,Tretinoin Dispersible,Tretinoin Dispersible,Dermatological,GSK India,Cream,50mg,Tretinoin Dispersible 50mg Cream is a retinoid used in the management of various conditions. Manufactured by GSK India. Each cream contains 50mg of active ingredient.,Retinoid,Yes,Store in dry place
343,Ipratropium Extended Release,Ipratropium,Vitamin/Supplement,Abbott India,Inhaler,25mg,Ipratropium Extended Release 25mg Inhaler is a anticholinergic used in the management of various conditions. Manufactured by Abbott India. Each inhaler contains 25mg of active ingredient.,Anticholinergic,No,Store in dry place
344,Pregabalin Extended Release,Pregabalin,Ophthalmic,Dabur Pharma,Capsule,250mg,Pregabalin Extended Release 250mg Capsule is a antiepileptic/neuropathic pain used in the management of various conditions. Manufactured by Dabur Pharma. Each capsule contains 250mg of active ingredient.,Antiepileptic/Neuropathic Pain,Yes,Store below 25°C
345,Morphine SR,Morphine SR,Cardiac,Sun Pharma,Injection,250mg,Morphine SR 250mg Injection is a opioid analgesic used in the management of various conditions. Manufactured by Sun Pharma. Each injection contains 250mg of active ingredient.,Opioid Analgesic,Yes,Store away from light
346,Tiotropium XR,Tiotropium XR,Hormonal,Max Healthcare Pharma,Inhaler,20mg,Tiotropium XR 20mg Inhaler is a anticholinergic bronchodilator used in the management of various conditions. Manufactured by Max Healthcare Pharma. Each inhaler contains 20mg of active ingredient.,Anticholinergic Bronchodilator,No,Store below 25°C
347,Clonazepam Junior,Clonazepam Junior,Antidepressant,Aristo Pharma,Tablet,1g,Clonazepam Junior 1g Tablet is a benzodiazepine used in the management of various conditions. Manufactured by Aristo Pharma. Each tablet contains 1g of active ingredient.,Benzodiazepine,Yes,Refrigerate 2-8°C
348,Rivaroxaban Forte,Rivaroxaban Forte,Antiviral,Torrent Pharma,Tablet,500mg,Rivaroxaban Forte 500mg Tablet is a noac used in the management of various conditions. Manufactured by Torrent Pharma. Each tablet contains 500mg of active ingredient.,NOAC,No,Store in dry place
349,Levofloxacin SR,Levofloxacin SR,Antimalarial,Abbott India,Tablet,250mg,Levofloxacin SR 250mg Tablet is a antibiotic used in the management of various conditions. Manufactured by Abbott India. Each tablet contains 250mg of active ingredient.,Antibiotic,Yes,Store away from light
350,Dopamine Sustained Release,Dopamine,Cardiac,Torrent Pharma,Injection,500mg,Dopamine Sustained Release 500mg Injection is a vasopressor used in the management of various conditions. Manufactured by Torrent Pharma. Each injection contains 500mg of active ingredient.,Vasopressor,Yes,Refrigerate 2-8°C
351,Tretinoin XR 350,Tretinoin XR,Urological,Sanofi India,Cream,250mg,Tretinoin XR 350 250mg Cream is a retinoid used in the management of various conditions. Manufactured by Sanofi India. Each cream contains 250mg of active ingredient.,Retinoid,No,Refrigerate 2-8°C
352,Mupirocin IV,Mupirocin IV,Anticoagulant,Emcure Pharma,Ointment,1g,Mupirocin IV 1g Ointment is a topical antibiotic used in the management of various conditions. Manufactured by Emcure Pharma. Each ointment contains 1g of active ingredient.,Topical Antibiotic,No,Refrigerate 2-8°C
353,Amitriptyline,Amitriptyline,NSAID,Dabur Pharma,Tablet,10mg,Amitriptyline 10mg Tablet is a tca antidepressant used in the management of various conditions. Manufactured by Dabur Pharma. Each tablet contains 10mg of active ingredient.,TCA Antidepressant,Yes,Store in dry place
354,Testosterone Dispersible,Testosterone Dispersible,Bronchodilator,Cipla,Injection,100mg,Testosterone Dispersible 100mg Injection is a androgen used in the management of various conditions. Manufactured by Cipla. Each injection contains 100mg of active ingredient.,Androgen,Yes,Refrigerate 2-8°C
355,Insulin Aspart SR,Insulin Aspart SR,Antidepressant,Dr. Reddy's,Injection,50mg,Insulin Aspart SR 50mg Injection is a rapid-acting insulin used in the management of various conditions. Manufactured by Dr. Reddy's. Each injection contains 50mg of active ingredient.,Rapid-Acting Insulin,Yes,Refrigerate 2-8°C
356,Theophylline SR,Theophylline SR,Urological,Cipla,Tablet,100mg,Theophylline SR 100mg Tablet is a xanthine bronchodilator used in the management of various conditions. Manufactured by Cipla. Each tablet contains 100mg of active ingredient.,Xanthine Bronchodilator,No,Store in dry place
357,Escitalopram,Escitalopram,Immunosuppressant,Glenmark,Tablet,10mg,Escitalopram 10mg Tablet is a ssri antidepressant used in the management of various conditions. Manufactured by Glenmark. Each tablet contains 10mg of active ingredient.,SSRI Antidepressant,Yes,Store below 25°C
358,Hydroxychloroquine Extended Release,Hydroxychloroquine,Ophthalmic,Cipla,Tablet,25mg,Hydroxychloroquine Extended Release 25mg Tablet is a antimalarial/dmard used in the management of various conditions. Manufactured by Cipla. Each tablet contains 25mg of active ingredient.,Antimalarial/DMARD,Yes,Store below 25°C
359,Enalapril SR,Enalapril SR,Cardiac,Himalaya,Tablet,500mg,Enalapril SR 500mg Tablet is a ace inhibitor used in the management of various conditions. Manufactured by Himalaya. Each tablet contains 500mg of active ingredient.,ACE Inhibitor,Yes,Store in dry place
360,Nifedipine,Nifedipine,Vitamin/Supplement,Elder Pharma,Tablet,10mg,Nifedipine 10mg Tablet is a calcium channel blocker used in the management of various conditions. Manufactured by Elder Pharma. Each tablet contains 10mg of active ingredient.,Calcium Channel Blocker,No,Store away from light
361,Imatinib Junior,Imatinib Junior,Antiviral,GSK India,Tablet,10mg,Imatinib Junior 10mg Tablet is a tyrosine kinase inhibitor used in the management of various conditions. Manufactured by GSK India. Each tablet contains 10mg of active ingredient.,Tyrosine Kinase Inhibitor,Yes,Store below 25°C
362,Tetracycline Forte,Tetracycline Forte,Antidepressant,Micro Labs,Capsule,100mg,Tetracycline Forte 100mg Capsule is a antibiotic used in the management of various conditions. Manufactured by Micro Labs. Each capsule contains 100mg of active ingredient.,Antibiotic,Yes,Refrigerate 2-8°C
363,Tacrolimus XR,Tacrolimus XR,Antiviral,Micro Labs,Capsule,250mg,Tacrolimus XR 250mg Capsule is a immunosuppressant used in the management of various conditions. Manufactured by Micro Labs. Each capsule contains 250mg of active ingredient.,Immunosuppressant,Yes,Store in dry place
364,Bevacizumab XR,Bevacizumab XR,Immunosuppressant,Aurobindo Pharma,Injection,20mg,Bevacizumab XR 20mg Injection is a vegf inhibitor used in the management of various conditions. Manufactured by Aurobindo Pharma. Each injection contains 20mg of active ingredient.,VEGF Inhibitor,Yes,Refrigerate 2-8°C
365,Venlafaxine Junior 364,Venlafaxine Junior,Anticoagulant,Emcure Pharma,Capsule,1g,Venlafaxine Junior 364 1g Capsule is a snri antidepressant used in the management of various conditions. Manufactured by Emcure Pharma. Each capsule contains 1g of active ingredient.,SNRI Antidepressant,No,Store below 25°C
366,Solifenacin Plus,Solifenacin,Ophthalmic,Micro Labs,Tablet,500mg,Solifenacin Plus 500mg Tablet is a anticholinergic used in the management of various conditions. Manufactured by Micro Labs. Each tablet contains 500mg of active ingredient.,Anticholinergic,Yes,Refrigerate 2-8°C
367,Dobutamine Plus,Dobutamine,Anticoagulant,Abbott India,Injection,250mg,Dobutamine Plus 250mg Injection is a inotrope used in the management of various conditions. Manufactured by Abbott India. Each injection contains 250mg of active ingredient.,Inotrope,No,Store in dry place
