id,name,department,sample_type,description,turnaround_time,fasting_required,normal_range,cost_category
966,Immunoassay Skin Biopsy (965),Pathology,Breath,immunoassay method of Histological skin lesion diagnosis,4 hours,12 hours,See report,Specialized
967,Rapid HLA Typing (966),Genetics,Blood (EDTA),rapid method of Organ transplant matching and disease association,24 hours,Yes,Lab-specific,Basic
968,Extended Dengue IgM/IgG Antibodies,Microbiology,Blood (Plain),extended method of Serological diagnosis of dengue fever,1 hour,Yes,Standardized,Specialized
969,Electrocardiogram (ECG/EKG),Cardiology,—,12-lead cardiac electrical activity recording,6 hours,8 hours,See report,Standard
970,Advanced BAER (Brainstem Auditory Evoked Response) (969),Neurology,—,advanced method of Brainstem and auditory pathway assessment,2 hours,Yes,Age/sex dependent,Specialized
971,Automated Serum Uric Acid,Biochemistry,Blood (Plain),automated method of Measures uric acid for gout and kidney stone assessment,4 hours,Yes,Lab-specific,Advanced
972,PSA (Prostate Specific Antigen),Biochemistry,Blood (Plain),Prostate cancer screening marker,1 hour,8 hours,See report,Basic
973,High-Sensitivity Dengue IgM/IgG Antibodies,Microbiology,Blood (Plain),high-sensitivity method of Serological diagnosis of dengue fever,Same day,Yes,Lab-specific,Specialized
974,Advanced CSF Culture and Analysis,Microbiology,CSF,advanced method of Evaluates meningitis and CNS infections,4 hours,8 hours,Age/sex dependent,Standard
975,Digital Urine Routine and Microscopy,Biochemistry,Urine (Mid-Stream),"digital method of Screens for UTI, renal disease, metabolic disorders",24 hours,8 hours,Lab-specific,Basic
976,Digital HSG (Hysterosalpingography),Radiology,—,digital method of Uterine and fallopian tube patency assessment,24 hours,12 hours,See report,Basic
977,Automated Core Needle Biopsy (976),Pathology,Blood (EDTA),automated method of Histological examination of solid tumors,48 hours,12 hours,See report,Basic
978,Automated Peak Expiratory Flow Rate (PEFR) (977),Pulmonology,Breath,automated method of Asthma monitoring tool,48 hours,12 hours,See report,Basic
979,Digital Fasting Blood Glucose,Biochemistry,Blood (Fluoride Oxalate),digital method of Measures blood sugar after 8-hour fast,48 hours,12 hours,Standardized,Specialized
980,Quantitative Complement (C3/C4),Immunology,Blood (Plain),quantitative method of Complement system evaluation for autoimmune disease,1 hour,No,Standardized,Specialized
981,Automated BRCA1/BRCA2 Gene Testing (980),Genetics,Blood (EDTA),automated method of Hereditary breast/ovarian cancer risk assessment,4 hours,No,Lab-specific,Specialized
982,Qualitative Treponema Pallidum Antibody (TPHA),Microbiology,Blood (Plain),qualitative method of Confirmatory test for syphilis,Same day,8 hours,Lab-specific,Basic
983,Immunoassay Intraocular Pressure (Tonometry) (982),Ophthalmology,—,immunoassay method of Glaucoma screening and monitoring,1 hour,12 hours,Standardized,Advanced
984,Serial Blood Culture and Sensitivity (983),Microbiology,Urine (Spot),serial method of Detects bacterial/fungal bloodstream infections,4 hours,8 hours,Age/sex dependent,Basic
985,Point-of-Care CSF Culture and Analysis (984),Microbiology,CSF,point-of-care method of Evaluates meningitis and CNS infections,6 hours,No,Age/sex dependent,Basic
986,Confirmatory Skin Biopsy,Pathology,Blood (Plain),confirmatory method of Histological skin lesion diagnosis,72 hours,No,Standardized,Specialized
987,Sputum Culture,Microbiology,Sputum,Identifies respiratory pathogens,Same day,No,Standardized,Standard
988,High-Sensitivity Sputum Culture,Microbiology,Sputum,high-sensitivity method of Identifies respiratory pathogens,Same day,Yes,Standardized,Specialized
989,Point-of-Care Serum Albumin,Biochemistry,Blood (Plain),point-of-care method of Protein marker for nutritional status and liver function,4 hours,Yes,Lab-specific,Standard
990,Serial EMG (Electromyography) (989),Neurology,—,serial method of Muscle electrical activity assessment,6 hours,No,Age/sex dependent,Specialized
991,High-Sensitivity Bronchoscopy (990),Endoscopy,—,high-sensitivity method of Airway visualization and bronchial biopsy,2 hours,Yes,See report,Basic
992,Point-of-Care CEA (Carcinoembryonic Antigen),Biochemistry,Blood (Plain),point-of-care method of Tumor marker for colorectal cancer monitoring,1 hour,12 hours,See report,Specialized
993,Advanced Anti-CCP Antibody,Immunology,Blood (Plain),advanced method of Highly specific marker for rheumatoid arthritis,6 hours,Yes,Standardized,Specialized
994,Extended GGT (Gamma-GT),Biochemistry,Blood (Plain),extended method of Sensitive liver enzyme for alcohol and biliary disease,6 hours,Yes,Lab-specific,Basic
995,CA-125,Biochemistry,Blood (Plain),Ovarian cancer biomarker,2 hours,12 hours,Standardized,Advanced
996,Serum Lipase,Biochemistry,Blood (Plain),More specific pancreatic enzyme than amylase,6 hours,No,See report,Specialized
997,Advanced Troponin I/T,Biochemistry,Blood (Plain),advanced method of High-sensitivity cardiac marker for acute MI,24 hours,12 hours,Age/sex dependent,Advanced
998,CA 19-9,Biochemistry,Blood (Plain),Pancreatic cancer monitoring marker,24 hours,No,See report,Standard
999,Fluorescent Upper GI Endoscopy (OGD Scope) (998),Endoscopy,—,"fluorescent method of Visualization of esophagus, stomach, duodenum",48 hours,8 hours,Lab-specific,Advanced
1000,Conventional Vitamin D (25-OH) (999),Biochemistry,Blood (Plain),conventional method of Measures vitamin D status,1 hour,No,Lab-specific,Advanced
